,0
48,이 가격에 대박인 것 같아요  받자마자 뜯어봤는데 양이 어마하네요 요새 기초를 탄탄히 하는지라 스킨을 많이 쓰는데 향도 좋고 흡수가 매우 잘 되는 것 같아요 끈끈한 게 없이 흡수가 되면서 촉촉함이 오래가요 몸에도 저는 발라주는데 좋은 것 같아요 꾸준히  계속 쓰려고요 만족합니다
49,더워 고부 터 좁쌀처럼 뾰루지가 심하게 나더니  생리하기 전엔 빨간 뾰루지까지  지성 피분데  갑자기 너무 뒤집어 저서  구매했습니다  대용량이라 솜에 팍팍 쓰고  있어요  닥아쓰구  솜에  묻혀서  팩으로 사용하고 있어요  사용한 지  일주일 좀 안됐는데  눈에 띄게 사라지고 있아온  꾸준히 써볼게 오  아 여름이라  냉장고에 넣고 시원하게 쓰고 있습니다
50,두 개씩 두 번째로 주문해서 사용하네요 용량 크고 저렴해요 아침저녁 화장솜 묻혀 사용해 많이 쓰는 편이라 주문했어요  산뜻하고 촉촉해요 향도 자연형 느낌이고 저는 만족합니다 제가 피부가 민감한데도 잘 맞는 것 같아요 트러블도  일어나지 않았어요
51,민감성 피부라 토너 사용에 고민이 많았는데 년 전에 우연히 지인분께 추천받은 이후로 년 동안 믿고 쓰는 대용량 상품입니다 그런데 일에 주문해서 일 오늘 수령했네요 요즘 택배 물량 많아서 늦어지겠거니 생각했지만 생각보다 너무 늦게 받았네요 유통기한은 연월일까지 넉넉합니다
52,행사라서 저렴한 가격에 대용량 스킨토너를 구입했습니다 용량 대비 저렴한 제품이라 품질 기대는 크게 하지 않았는데 기대 이상의 품질입니다 쑥 냄새 풀 내음이 나와서 개인적으론 좋았습니다 흡수력과 촉촉함은 보통 수준입니다 편하고 넉넉하게 사용하실 분들께 추천합니다
53,미 흐트러 쓸려고 샀어요 십 년 전엔 미스트 선물 받아도 안 쓰고 몇 년 지나버리고 재작년에 필요하다 싶어샀는데 습관 안 돼 쓰다 버리고 수십 개나 버렸는데 이젠 주워다 써야 할 정도로 피부가 건조해요 화장도 들뜨고 큰일이네요 사십 되니 기초가 흐트러진 게 확 티 내네요 겨울이라 더 건조해서 난리예요 용량 큰 거 사서 수시로 뿌리려고 샀어요
54,홍조에 좋은 스킨이라는 후기를 찾아 읽고 구매했어요  양이 짐승 냥이라 솜에 적셔 스킨팩을 해도 되겠네요 다른 곳보다 좋은 조건으로 저렴하게 구매하고 선크림까지 왔네요 향에 민감하신 분들은 인공향이 나거나 그렇지는 않아요 쑥 향이라는 것 참고하시고 구매하세요
55,양이 많아 너무너무 좋습니다 피부 타입이 지성이라 세안 후 토너는 꼭 챙겨 닦아냅니다  쑥이 들어가서 그런지 깎고 나면 정말 개운한 느낌이 들어요  중 세안을 하는데도 닦아내면 후릿 하게  노폐물이 닦여 나옵니다  자극 없고  다음 단계 기초도 잘 받고 맘에 들어 다 쓰면  재구매  하렵니다
56,크기 장난 아니에요 진짜 만족할만한 크기 배송 오고 솜에다 적셔서 써는데 촉촉하고 좀 시원해서 진정 효과 있는 거 같았어요  냄새는 당연히 쑥 냄새랑 살짝 레몬 그런 향도 있는 거 같고 역하지 않고 자연 냄새나서 저는 만족합니다
57,일주문 일날 받음 배송 빠르고 구성 가격 조아서 재구매하려고요 다른 제품 사려다가 여기 구성이 조아서 구매했는데 향도 좋고 양도 괜찮아 기분 좋네요 세안하고 항상 스킨으로 닦아내는데 이거 양이 많아 부담 없이 닦아내고 또 솜을 적셔 얼굴에 올려놓으면 좋다고 하니 그렇게 도포용으로도 좋고  맘에 듭니다
